ID,Name,Lat,Lon,Type
144,"0, Ghodbunder Rd, Ghodbander Village, Ghodbunder",19.29377096,72.89080418,
145,Kanakia Rd,19.30640797,72.8776648,
146,"WING A, Mohan Gokhale Rd, Yashodham, Goregaon East",19.17006696,72.86697167,
147,"A-35, Rd Number 16, Tilak Nagar, Goregaon West",19.16065962,72.83997581,
148,"67100, Chahu Bhiva Marg, Kharegaon, Kalwa",19.20552537,72.99825106,
149,I -2,19.08327406,72.91867025,
150,Unnamed Road,19.24065042,73.10194671,
151,Seawoods Estates Road,19.00127912,73.01572563,
152,Vaibhav CHS,19.08698335,73.01326748,
153,"0, Manori - Gorai Rd, Culvem Village, Gorai",19.23247482,72.78222605,
154,"0, Airoli Knowledge Park Road, MSEB Staff Colony, TTC Industrial Area, Airoli",19.17671928,72.99254169,
155,Gopal Apartment B-Wing,19.18379958,73.02535935,
156,Sindhu Co Op Housing Society,19.07248045,72.84039678,
157,"0, Shankheshwar Rd, Kanchangoan, Dombivli East",19.22593503,73.11442922,
158,Maratha Samaj,19.00059789,72.83886529,
159,"0, Sahar Rd, Andheri East",19.12018006,72.84865869,
160,Aarey Rd,19.14846557,72.88127426,
161,Anthony Church Rd,19.15584779,72.92635019,
162,X-3,18.90826096,72.80415459,
163,0-A,19.02722054,72.86723347,
164,yog sankul Maharashtra nagar near 2,19.21806256,73.06988103,
165,Jalaram Jyot CHS,19.00428434,73.12300083,
166,Akashdeep Service Rd,19.02621768,72.92958548,
167,0/1,19.10443402,72.86985161,
168,"0, Sector 8A",19.03558158,73.04285776,
169,Dapoli Targarh Road,19.00600141,73.04253868,
170,"0/B, Juhu Tara Rd, Chandrabai Nagar, Juhu",19.08986437,72.82432575,
171,Jogeshwari - Vikhroli Link Rd,19.12412829,72.93637021,
172,Digha MIDC Road,19.17579235,73.00087099,
173,Mumbai - Agra National Hwy,19.21791715,73.01779161,
174,"0, Walkeshwar Rd, Raj Bhavan, Malabar Hill",18.93826603,72.79610558,
175,"0, Chikku Wadi Rd, Sai Krupa Nagar, Chikuwadi, Malad West",19.18817971,72.80215803,
176,Pawane MIDC Rd Number 7,19.09695103,73.03495882,
177,Datiwali Station Rd,19.18854011,73.06182101,
178,"0-A, Rd Number 3, Govandi West, Phase 1, Shivaji Nagar",19.06687769,72.92105157,
179,Mumbai - Pune Expy,18.99254655,73.13975688,
180,Bhikanji Damaji Patil Marg,19.02251839,72.89628288,
181,"A-8, Shanti Gardens Rd, New Shree Krishna Garden, Sector 2, Srishti Complex, Mira Road East",19.27008011,72.8714393,
182,12KBC,19.06057506,72.86268374,
183,"Ma-Krupa Apartment, Shimpoli Road, Gautam Nagar, Borivali West",19.2229668,72.85127069,
184,P-17,19.04293308,73.03308213,
185,"100, Sona Enterprises Colony",19.11554974,72.93428265,
186,"0, Saki Vihar Rd, Raje Sambhaji Nagar, Marol, Andheri East",19.12885776,72.89481641,
187,"0, Colaba Causeway, Cuffe Parade",18.91543935,72.82417119,
188,Casa Bella Road,19.1689421,73.07312123,
189,"300, Lady Jamshedji Rd, Opp.Victoria School, New Dinkar Co Operative Housing Society, Mahim",19.03389225,72.84132412,
190,"0, Lal Bahadur Shastri Marg, HMPL Surya Nagar, Vikhroli West",19.111875,72.92527383,
191,"0-713, Bandra - Worli Sea Link, Worli Sea Face, Worli",19.01818463,72.81320471,
192,"0, Sai Baba Mandir Marg, Anand Vihar Complex, Mafatlal Colony, Kalwa",19.20436677,73.00599584,
193,0-1A,19.17288316,72.93527436,
194,Road Number 15,19.06636339,72.93148751,
195,"500, Lakshmi Darshan",19.19390597,73.02492194,
196,"0, Mindspace",19.18748209,72.83404808,
197,"C-104, Pune Link Rd, Tisgao Naka, Santosh Nagar",19.22542366,73.13100265,
198,"A-6, Mulund Goregaon Link Rd, Sanjay Gandhi National Park, Borivali East",19.17002895,72.92464168,
199,"0, Bhandup Village Rd, Nahur, Industrial Area, Bhandup West",19.16025549,72.9454051,
200,Unnamed Road,18.97819531,73.13865265,
201,Bunder Aali Rd,19.19158426,73.0370155,
